"height [mm]","rad [mm]","w1 [mm]","w2 [mm]","Freq [GHz]","dB(S(1,1)) []"
13,13,2,2,3.29,-10.5198185072619
13,13,2,2,3.3,-11.2413517304026
13,13,2,2,3.31,-12.026961032954
13,13,2,2,3.32,-12.8787177904121
13,13,2,2,3.33,-13.7934260365854
13,13,2,2,3.34,-14.756780824754
13,13,2,2,3.35,-15.7330392678798
13,13,2,2,3.36,-16.6499843613371
13,13,2,2,3.37,-17.3871339416655
13,13,2,2,3.38,-17.7929343055068
13,13,2,2,3.39,-17.7564081896449
13,13,2,2,3.4,-17.288136174154
13,13,2,2,3.41,-16.5116530799598
13,13,2,2,3.42,-15.5770992977367
13,13,2,2,3.43,-14.5975953967506
13,13,2,2,3.44,-13.6387875958119
13,13,2,2,3.45,-12.7323058993352
13,13,2,2,3.46,-11.8902667329508
13,13,2,2,3.47,-11.1148172035657
13,13,2,2,3.48,-10.4034391150366
13,13,2,2,3.49,-9.75167946360045
13,13,2,2,3.5,-9.15449351386922
13,13,2,2,3.51,-8.60687597486835
13,13,2,2,3.52,-8.10413573313201
13,13,2,2,3.53,-7.64199557819627
13,13,2,2,3.54,-7.21660844173528
13,13,2,2,3.55,-6.82453600272551
13,13,2,2,3.56,-6.4627123970026
13,13,2,2,3.57,-6.12840406405732
13,13,2,2,3.58,-5.81917084096444
13,13,2,2,3.59,-5.53283043692108
13,13,2,2,3.6,-5.26742695381612
13,13,2,2,3.61,-5.0212034230997
13,13,2,2,3.62,-4.79257802783972
13,13,2,2,3.63,-4.58012357468768
13,13,2,2,3.64,-4.38254977149971
13,13,2,2,3.65,-4.19868789989154
13,13,2,2,3.66,-4.02747752127956
13,13,2,2,3.67,-3.86795490683358
13,13,2,2,3.68,-3.71924293021696
13,13,2,2,3.69,-3.58054220466694
13,13,2,2,3.7,-3.45112328235115
13,13,2,2,3.71,-3.33031976436388
13,13,2,2,3.72,-3.21752219488686
13,13,2,2,3.73,-3.11217263371629
13,13,2,2,3.74,-3.01375981830232
13,13,2,2,3.75,-2.92181484033016
13,13,2,2,3.76,-2.83590727326374
13,13,2,2,3.77,-2.75564169664861
13,13,2,2,3.78,-2.68065457071901
13,13,2,2,3.79,-2.61061142128792
13,13,2,2,3.8,-2.54520430026983
13,13,2,2,3.81,-2.48414949169632
13,13,2,2,3.82,-2.42718543689327
13,13,2,2,3.83,-2.37407085572464
13,13,2,2,3.84,-2.32458304357289
13,13,2,2,3.85,-2.27851632610213
13,13,2,2,3.86,-2.23568065590192
13,13,2,2,3.87,-2.19590033689118
13,13,2,2,3.88,-2.15901286391456
13,13,2,2,3.89,-2.12486786632326
13,13,2,2,3.9,-2.09332614552735
13,13,2,2,3.91,-2.06425879755984
13,13,2,2,3.92,-2.03754641262479
13,13,2,2,3.93,-2.01307834442786
13,13,2,2,3.94,-1.99075204282228
13,13,2,2,3.95,-1.97047244395729
13,13,2,2,3.96,-1.95215141270077
13,13,2,2,3.97,-1.93570723262936
13,13,2,2,3.98,-1.92106413934802
13,13,2,2,3.99,-1.90815189332016
13,13,2,2,4,-1.89690538876684
13,13,2,2,4.01,-1.88726429553278
13,13,2,2,4.02,-1.87917273112296
13,13,2,2,4.03,-1.87257896038863
13,13,2,2,4.04,-1.86743512059192
13,13,2,2,4.05,-1.86369696980249
13,13,2,2,4.06,-1.86132365678527
13,13,2,2,4.07,-1.8602775107225
13,13,2,2,4.08,-1.86052384928326
13,13,2,2,4.09,-1.86203080370598
13,13,2,2,4.1,-1.86476915970035
13,13,2,2,4.11,-1.86871221310286
13,13,2,2,4.12,-1.87383563933725
13,13,2,2,4.13,-1.88011737583919
13,13,2,2,4.14,-1.88753751670299
13,13,2,2,4.15,-1.89607821889967
13,13,2,2,4.16,-1.90572361949939
13,13,2,2,4.17,-1.91645976340906
13,13,2,2,4.18,-1.92827454120746
13,13,2,2,4.19,-1.94115763672652
13,13,2,2,4.2,-1.95510048408805
13,13,2,2,4.21,-1.97009623396162
13,13,2,2,4.22,-1.98613972885991
13,13,2,2,4.23,-2.00322748733424
13,13,2,2,4.24,-2.02135769697388
13,13,2,2,4.25,-2.04053021614826
13,13,2,2,4.26,-2.06074658446093
13,13,2,2,4.27,-2.08201004190707
13,13,2,2,4.28,-2.10432555674197
13,13,2,2,4.29,-2.12769986207496
13,13,2,2,4.3,-2.15214150120035
13,13,2,2,4.31,-2.17766088166265
13,13,2,2,4.32,-2.20427033802526
13,13,2,2,4.33,-2.23198420326821
13,13,2,2,4.34,-2.26081888867845
13,13,2,2,4.35,-2.2907929720121
13,13,2,2,4.36,-2.32192729359962
13,13,2,2,4.37,-2.3542450599263
13,13,2,2,4.38,-2.38777195404951
13,13,2,2,4.39,-2.42253625200391
13,13,2,2,4.4,-2.45856894409229
13,13,2,2,4.41,-2.49590385965704
13,13,2,2,4.42,-2.53457779356989
13,13,2,2,4.43,-2.57463063225901
13,13,2,2,4.44,-2.61610547660936
13,13,2,2,4.45,-2.65904875851731
13,13,2,2,4.46,-2.70351034725344
13,13,2,2,4.47,-2.74954364108377
13,13,2,2,4.48,-2.79720563882361
13,13,2,2,4.49,-2.84655698515259
13,13,2,2,4.5,-2.8976619826155
13,13,2,2,4.51,-2.95058856228723
13,13,2,2,4.52,-3.00540820411599
13,13,2,2,4.53,-3.06219579700982
13,13,2,2,4.54,-3.12102942784378
13,13,2,2,4.55,-3.18199008779567
13,13,2,2,4.56,-3.2451612838389
13,13,2,2,4.57,-3.3106285429196
13,13,2,2,4.58,-3.37847879642148
13,13,2,2,4.59,-3.44879963309205
13,13,2,2,4.6,-3.52167840979152
13,13,2,2,4.61,-3.59720121135996
13,13,2,2,4.62,-3.67545165370597
13,13,2,2,4.63,-3.75650952801243
13,13,2,2,4.64,-3.84044928881444
13,13,2,2,4.65,-3.92733839467252
13,13,2,2,4.66,-4.01723551721428
13,13,2,2,4.67,-4.11018864234325
13,13,2,2,4.68,-4.20623309620728
13,13,2,2,4.69,-4.30538953775891
13,13,2,2,4.7,-4.40766196897854
13,13,2,2,4.71,-4.51303582250905
13,13,2,2,4.72,-4.62147619389985
13,13,2,2,4.73,-4.73292629114544
13,13,2,2,4.74,-4.84730617697692
13,13,2,2,4.75,-4.96451187871762
13,13,2,2,4.76,-5.08441493586229
13,13,2,2,4.77,-5.20686244650696
13,13,2,2,4.78,-5.33167766024697
13,13,2,2,4.79,-5.45866114742247
13,13,2,2,4.8,-5.58759255324722
13,13,2,2,4.81,-5.71823292141243
13,13,2,2,4.82,-5.85032754653721
13,13,2,2,4.83,-5.98360928991907
13,13,2,2,4.84,-6.11780227010505
13,13,2,2,4.85,-6.25262582051107
13,13,2,2,4.86,-6.38779859211807
13,13,2,2,4.87,-6.52304267127953
13,13,2,2,4.88,-6.65808758153029
13,13,2,2,4.89,-6.79267404410454
13,13,2,2,4.9,-6.92655738421103
13,13,2,2,4.91,-7.0595104880355
13,13,2,2,4.92,-7.19132623759817
13,13,2,2,4.93,-7.32181937537478
13,13,2,2,4.94,-7.45082777627755
13,13,2,2,4.95,-7.57821312952391
13,13,2,2,4.96,-7.70386105563092
13,13,2,2,4.97,-7.8276807031041
13,13,2,2,4.98,-7.94960388455375
13,13,2,2,4.99,-8.06958382257489
13,13,2,2,5,-8.18759358174837
13,13,2.5,2,1,-0.511909848615786
13,13,2.5,2,1.01,-0.508284174542559
13,13,2.5,2,1.02,-0.504689909401179
13,13,2.5,2,1.03,-0.501128360546739
13,13,2.5,2,1.04,-0.497600819842711
13,13,2.5,2,1.05,-0.494108563332113
13,13,2.5,2,1.06,-0.49065285093005
13,13,2.5,2,1.07,-0.487234926137652
13,13,2.5,2,1.08,-0.48385601577766
13,13,2.5,2,1.09,-0.480517329751893
13,13,2.5,2,1.1,-0.477220060820521
13,13,2.5,2,1.11,-0.473965384403376
13,13,2.5,2,1.12,-0.470754458403348
13,13,2.5,2,1.13,-0.467588423051801
13,13,2.5,2,1.14,-0.464468400776106
13,13,2.5,2,1.15,-0.461395496089235
13,13,2.5,2,1.16,-0.458370795501318
13,13,2.5,2,1.17,-0.455395367453143
13,13,2.5,2,1.18,-0.452470262271492
13,13,2.5,2,1.19,-0.449596512146139
13,13,2.5,2,1.2,-0.446775131128397
13,13,2.5,2,1.21,-0.444007115151034
13,13,2.5,2,1.22,-0.441293442069359
13,13,2.5,2,1.23,-0.438635071723252
13,13,2.5,2,1.24,-0.436032946019925
13,13,2.5,2,1.25,-0.433487989037133
13,13,2.5,2,1.26,-0.43100110714657
13,13,2.5,2,1.27,-0.428573189157171
13,13,2.5,2,1.28,-0.426205106477983
13,13,2.5,2,1.29,-0.423897713300305
13,13,2.5,2,1.3,-0.421651846798726
13,13,2.5,2,1.31,-0.419468327350725
13,13,2.5,2,1.32,-0.417347958774475
13,13,2.5,2,1.33,-0.415291528584396
13,13,2.5,2,1.34,-0.413299808264134
13,13,2.5,2,1.35,-0.411373553556501
13,13,2.5,2,1.36,-0.409513504769968
13,13,2.5,2,1.37,-0.407720387101221
13,13,2.5,2,1.38,-0.405994910973402
13,13,2.5,2,1.39,-0.404337772389465
13,13,2.5,2,1.4,-0.402749653300225
13,13,2.5,2,1.41,-0.401231221986558
13,13,2.5,2,1.42,-0.399783133455245
13,13,2.5,2,1.43,-0.398406029847907
13,13,2.5,2,1.44,-0.397100540862448
13,13,2.5,2,1.45,-0.395867284186483
13,13,2.5,2,1.46,-0.394706865942071
13,13,2.5,2,1.47,-0.393619881141137
13,13,2.5,2,1.48,-0.392606914150987
13,13,2.5,2,1.49,-0.391668539169087
13,13,2.5,2,1.5,-0.390805320706531
13,13,2.5,2,1.51,-0.390017814079274
13,13,2.5,2,1.52,-0.389306565906442
13,13,2.5,2,1.53,-0.388672114614782
13,13,2.5,2,1.54,-0.388114990948338
13,13,2.5,2,1.55,-0.387635718482391
13,13,2.5,2,1.56,-0.387234814140599
13,13,2.5,2,1.57,-0.386912788714195
13,13,2.5,2,1.58,-0.386670147382031
13,13,2.5,2,1.59,-0.386507390230159
13,13,2.5,2,1.6,-0.386425012769476
13,13,2.5,2,1.61,-0.386423506449927
13,13,2.5,2,1.62,-0.386503359169536
13,13,2.5,2,1.63,-0.386665055776411
13,13,2.5,2,1.64,-0.386909078561709
13,13,2.5,2,1.65,-0.387235907741313
13,13,2.5,2,1.66,-0.387646021923766
13,13,2.5,2,1.67,-0.388139898561774
13,13,2.5,2,1.68,-0.388718014384299
13,13,2.5,2,1.69,-0.389380845805888
13,13,2.5,2,1.7,-0.390128869309679
13,13,2.5,2,1.71,-0.390962561799959
13,13,2.5,2,1.72,-0.3918824009198
13,13,2.5,2,1.73,-0.39288886532881
13,13,2.5,2,1.74,-0.3939824349354
13,13,2.5,2,1.75,-0.395163591077409
13,13,2.5,2,1.76,-0.396432816644157
13,13,2.5,2,1.77,-0.397790596132281
13,13,2.5,2,1.78,-0.399237415626688
13,13,2.5,2,1.79,-0.400773762697056
13,13,2.5,2,1.8,-0.402400126199127
13,13,2.5,2,1.81,-0.404116995968711
13,13,2.5,2,1.82,-0.405924862394938
13,13,2.5,2,1.83,-0.407824215857589
13,13,2.5,2,1.84,-0.409815546011517
13,13,2.5,2,1.85,-0.411899340899049
13,13,2.5,2,1.86,-0.414076085868867
13,13,2.5,2,1.87,-0.416346262277226
13,13,2.5,2,1.88,-0.418710345944246
13,13,2.5,2,1.89,-0.421168805334564
13,13,2.5,2,1.9,-0.423722099427711
13,13,2.5,2,1.91,-0.426370675239081
13,13,2.5,2,1.92,-0.429114964947208
13,13,2.5,2,1.93,-0.431955382577366
13,13,2.5,2,1.94,-0.434892320184692
13,13,2.5,2,1.95,-0.437926143472628
13,13,2.5,2,1.96,-0.441057186773716
13,13,2.5,2,1.97,-0.444285747309828
13,13,2.5,2,1.98,-0.44761207863767
13,13,2.5,2,1.99,-0.451036383172242
13,13,2.5,2,2,-0.45455880366601
13,13,2.5,2,2.01,-0.45817941350438
13,13,2.5,2,2.02,-0.461898205658172
13,13,2.5,2,2.03,-0.465715080111045
13,13,2.5,2,2.04,-0.469629829553476
13,13,2.5,2,2.05,-0.473642123104486
13,13,2.5,2,2.06,-0.477751487787163
13,13,2.5,2,2.07,-0.48195728744345
13,13,2.5,2,2.08,-0.486258698726446
13,13,2.5,2,2.09,-0.490654683753959
13,13,2.5,2,2.1,-0.495143958943669
13,13,2.5,2,2.11,-0.499724959476617
13,13,2.5,2,2.12,-0.504395798750298
13,13,2.5,2,2.13,-0.509154222083121
13,13,2.5,2,2.14,-0.513997553816361
13,13,2.5,2,2.15,-0.518922636825159
13,13,2.5,2,2.16,-0.523925763293485
13,13,2.5,2,2.17,-0.529002595425889
13,13,2.5,2,2.18,-0.534148074557278
13,13,2.5,2,2.19,-0.539356316876067
13,13,2.5,2,2.2,-0.544620493691471
13,13,2.5,2,2.21,-0.549932693846352
13,13,2.5,2,2.22,-0.555283765497763
13,13,2.5,2,2.23,-0.560663134052338
13,13,2.5,2,2.24,-0.566058592547602
13,13,2.5,2,2.25,-0.571456060209863
13,13,2.5,2,2.26,-0.576839304292651
13,13,2.5,2,2.27,-0.582189619610453
13,13,2.5,2,2.28,-0.587485459440996
13,13,2.5,2,2.29,-0.592702010698061
13,13,2.5,2,2.3,-0.597810705516524
13,13,2.5,2,2.31,-0.602778660710212
13,13,2.5,2,2.32,-0.607568036072006
13,13,2.5,2,2.33,-0.612135302355901
13,13,2.5,2,2.34,-0.616430410275842
13,13,2.5,2,2.35,-0.620395853369423
13,13,2.5,2,2.36,-0.62396562068785
13,13,2.5,2,2.37,-0.627064040833232
13,13,2.5,2,2.38,-0.629604528084729
13,13,2.5,2,2.39,-0.63148825595042
13,13,2.5,2,2.4,-0.632602805826768
13,13,2.5,2,2.41,-0.632820871753357
13,13,2.5,2,2.42,-0.631999150720207
13,13,2.5,2,2.43,-0.62997761686882
13,13,2.5,2,2.44,-0.62657947331273
13,13,2.5,2,2.45,-0.621612203344615
13,13,2.5,2,2.46,-0.614870307887506
13,13,2.5,2,2.47,-0.606140517152854
13,13,2.5,2,2.48,-0.595210488570687
13,13,2.5,2,2.49,-0.581882214575635
13,13,2.5,2,2.5,-0.565991489513417
13,13,2.5,2,2.51,-0.547434695986707
13,13,2.5,2,2.52,-0.526203669646689
13,13,2.5,2,2.53,-0.502428229114977
13,13,2.5,2,2.54,-0.476423854544328
13,13,2.5,2,2.55,-0.448738853042541
13,13,2.5,2,2.56,-0.420191459404984
13,13,2.5,2,2.57,-0.391883706575969
13,13,2.5,2,2.58,-0.365177461642884
13,13,2.5,2,2.59,-0.341621167699307
13,13,2.5,2,2.6,-0.322825259009952
13,13,2.5,2,2.61,-0.31029908859537
13,13,2.5,2,2.62,-0.305277909792245
13,13,2.5,2,2.63,-0.308577664590686
13,13,2.5,2,2.64,-0.320511923985527
13,13,2.5,2,2.65,-0.340888899120889
13,13,2.5,2,2.66,-0.36908362853936
13,13,2.5,2,2.67,-0.404161205750988
13,13,2.5,2,2.68,-0.445018490572242
13,13,2.5,2,2.69,-0.490515065208162
13,13,2.5,2,2.7,-0.539574848182972
13,13,2.5,2,2.71,-0.591251818743754
13,13,2.5,2,2.72,-0.64476250155059
13,13,2.5,2,2.73,-0.699492760950518
13,13,2.5,2,2.74,-0.754987661840779
13,13,2.5,2,2.75,-0.810932097194789
13,13,2.5,2,2.76,-0.867127901008497
13,13,2.5,2,2.77,-0.923471141320694
