"Height [mm]","Radius [mm]","Freq [GHz]","dB(S(1,1)) []"
13,8,3.64,-5.75021513761509
13,8,3.65,-5.83187141520371
13,8,3.66,-5.91536542264232
13,8,3.67,-6.00072052886357
13,8,3.68,-6.08795494867146
13,8,3.69,-6.17708077218263
13,8,3.7,-6.2681028799414
13,8,3.71,-6.3610177362678
13,8,3.72,-6.45581205437732
13,8,3.73,-6.55246132833001
13,8,3.74,-6.65092822905956
13,8,3.75,-6.75116086475461
13,8,3.76,-6.85309090988769
13,8,3.77,-6.95663161239564
13,8,3.78,-7.06167569510093
13,8,3.79,-7.16809317560596
13,8,3.8,-7.27572913874933
13,8,3.81,-7.3844015073806
13,8,3.82,-7.49389887069721
13,8,3.83,-7.60397844456161
13,8,3.84,-7.71436425474889
13,8,3.85,-7.82474565137681
13,8,3.86,-7.93477627992192
13,8,3.87,-8.04407364991983
13,8,3.88,-8.152219454945
13,8,3.89,-8.2587608045929
13,8,3.9,-8.36321252840056
13,8,3.91,-8.46506070017033
13,8,3.92,-8.56376750627477
13,8,3.93,-8.65877754090334
13,8,3.94,-8.74952555346735
13,8,3.95,-8.83544559859804
13,8,3.96,-8.91598144949246
13,8,3.97,-8.99059803540812
13,8,3.98,-9.05879356114481
13,8,3.99,-9.12011187002172
13,8,4,-9.17415453337209
13,8,4.01,-9.220592100392
13,8,4.02,-9.25917393223882
13,8,4.03,-9.2897360801441
13,8,4.04,-9.31220675053777
13,8,4.05,-9.32660902637362
13,8,4.06,-9.33306067267496
13,8,4.07,-9.33177103069449
13,8,4.08,-9.32303518126242
13,8,4.09,-9.30722571615502
13,8,4.1,-9.28478258161134
13,8,4.11,-9.25620154020691
13,8,4.12,-9.22202183184152
13,8,4.13,-9.18281360325649
13,8,4.14,-9.13916562491202
13,8,4.15,-9.09167373424009
13,8,4.16,-9.0409303467505
13,8,4.17,-8.98751527245449
13,8,4.18,-8.93198797424116
13,8,4.19,-8.87488131447013
13,8,4.2,-8.81669676074962
13,8,4.21,-8.75790096378418
13,8,4.22,-8.69892357937539
13,8,4.23,-8.64015618172765
13,8,4.24,-8.58195210381957
13,8,4.25,-8.52462703999434
13,8,4.26,-8.46846025331431
13,8,4.27,-8.41369624304848
13,8,4.28,-8.36054674372709
13,8,4.29,-8.30919294474756
13,8,4.3,-8.25978783722669
13,8,4.31,-8.21245861173439
13,8,4.32,-8.16730904611146
13,8,4.33,-8.12442183643273
13,8,4.34,-8.08386083618636
13,8,4.35,-8.04567317890415
13,8,4.36,-8.00989126789254
13,8,4.37,-7.97653462353215
13,8,4.38,-7.94561158401941
13,8,4.39,-7.91712085960721
13,8,4.4,-7.89105294355062
13,8,4.41,-7.867391385254
13,8,4.42,-7.84611393270412
13,8,4.43,-7.82719355229987
13,8,4.44,-7.81059933477094
13,8,4.45,-7.79629729611717
13,8,4.46,-7.78425108247943
13,8,4.47,-7.77442258764152
13,8,4.48,-7.76677249151493
13,8,4.49,-7.76126072751925
13,8,4.5,-7.75784688627398
13,8,4.51,-7.75649056249038
13,8,4.52,-7.75715165141388
13,8,4.53,-7.75979060063409
13,8,4.54,-7.76436862256167
13,8,4.55,-7.77084787237562
13,8,4.56,-7.7791915957776
13,8,4.57,-7.78936425045292
13,8,4.58,-7.80133160473366
13,8,4.59,-7.8150608165875
13,8,4.6,-7.83052049571583
13,8,4.61,-7.8476807512362
13,8,4.62,-7.86651322714425
13,8,4.63,-7.88699112749916
13,8,4.64,-7.90908923305002
13,8,4.65,-7.93278391081927
13,8,4.66,-7.95805311797883
13,8,4.67,-7.98487640119461
13,8,4.68,-8.01323489247391
13,8,4.69,-8.04311130242423
13,8,4.7,-8.07448991172287
13,8,4.71,-8.10735656149926
13,8,4.72,-8.14169864324802
13,8,4.73,-8.17750508881685
13,8,4.74,-8.21476636094982
13,8,4.75,-8.25347444481144
13,8,4.76,-8.29362284086997
13,8,4.77,-8.33520655947819
13,8,4.78,-8.37822211745627
13,8,4.79,-8.42266753695326
13,8,4.8,-8.46854234684112
13,8,4.81,-8.5158475868767
13,8,4.82,-8.56458581485345
13,8,4.83,-8.61476111695462
13,8,4.84,-8.66637912151308
13,8,4.85,-8.71944701638003
13,8,4.86,-8.77397357010524
13,8,4.87,-8.82996915713396
13,8,4.88,-8.88744578723242
13,8,4.89,-8.94641713936232
13,8,4.9,-9.00689860023673
13,8,4.91,-9.06890730780417
13,8,4.92,-9.13246219992573
13,8,4.93,-9.19758406853013
13,8,4.94,-9.26429561955585
13,8,4.95,-9.33262153901672
13,8,4.96,-9.40258856555793
13,8,4.97,-9.47422556990481
13,8,4.98,-9.54756364164555
13,8,4.99,-9.62263618383331
13,8,5,-9.69947901594259
13,8,5.01,-9.7781304857697
13,8,5.02,-9.85863159092964
13,8,5.03,-9.94102611067041
13,8,5.04,-10.0253607488042
13,8,5.05,-10.1116852886416
13,8,5.06,-10.200052760914
13,8,5.07,-10.2905196257781
13,8,5.08,-10.3831459701234
13,8,5.09,-10.4779957215405
13,8,5.1,-10.5751368804719
13,8,5.11,-10.6746417722408
13,8,5.12,-10.7765873208638
13,8,5.13,-10.8810553467828
13,8,5.14,-10.9881328909171
13,8,5.15,-11.0979125677406
13,8,5.16,-11.210492950437
13,8,5.17,-11.325978991583
13,8,5.18,-11.4444824832714
13,8,5.19,-11.566122561114
13,8,5.2,-11.6910262571791
13,8,5.21,-11.8193291076304
13,8,5.22,-11.9511758216604
13,8,5.23,-12.0867210192831
13,8,5.24,-12.2261300466757
13,8,5.25,-12.369579879094
13,8,5.26,-12.5172601229483
13,8,5.27,-12.6693741304756
13,8,5.28,-12.8261402426408
13,8,5.29,-12.9877931785088
13,8,5.3,-13.1545855924481
13,8,5.31,-13.3267898242707
13,8,5.32,-13.5046998719154
13,8,5.33,-13.6886336217314
13,8,5.34,-13.8789353780376
13,8,5.35,-14.0759787417033
13,8,5.36,-14.2801698974019
13,8,5.37,-14.4919513813823
13,8,5.38,-14.7118064167185
13,8,5.39,-14.9402639218168
13,8,5.4,-15.1779043215384
13,8,5.41,-15.4253663200122
13,8,5.42,-15.6833548318994
13,8,5.43,-15.9526503169877
13,8,5.44,-16.234119824845
13,8,5.45,-16.5287301363616
13,8,5.46,-16.8375634934968
13,8,5.47,-17.1618365459506
13,8,5.48,-17.5029233256134
13,8,5.49,-17.8623833030925
13,8,5.5,-18.2419959087644
13,8,5.51,-18.643803346827
13,8,5.52,-19.0701641419881
13,8,5.53,-19.5238207019369
13,8,5.54,-20.007985349629
13,8,5.55,-20.5264509092432
13,8,5.56,-21.0837341921698
13,8,5.57,-21.6852638283329
13,8,5.58,-22.3376279825141
13,8,5.59,-23.0489024275667
13,8,5.6,-23.8290838709361
13,8,5.61,-24.69065211334
13,8,5.62,-25.6492600252002
13,8,5.63,-26.7244457869791
13,8,5.64,-27.9398930290221
13,8,5.65,-29.3215197799265
13,8,5.66,-30.887524068386
13,8,5.67,-32.6113927170389
13,8,5.68,-34.3089549173082
13,8,5.69,-35.4355770274094
13,8,5.7,-35.2753129795523
13,8,5.71,-33.916118951217
13,8,5.72,-32.1036875933659
13,8,5.73,-30.3142572383002
13,8,5.74,-28.6934354401168
13,8,5.75,-27.2555922363884
13,8,5.76,-25.9798619280693
13,8,5.77,-24.8403547627647
13,8,5.78,-23.8140280408372
13,8,5.79,-22.8820128929043
13,8,5.8,-22.0292139158359
13,8,5.81,-21.2435828507494
13,8,5.82,-20.5154460172447
13,8,5.83,-19.8369635442219
13,8,5.84,-19.2017142596507
13,8,5.85,-18.6043815733819
13,8,5.86,-18.0405160019199
13,8,5.87,-17.5063546888673
13,8,5.88,-16.9986831113041
13,8,5.89,-16.5147280894646
13,8,5.9,-16.0520741641443
13,8,5.91,-15.6085975501664
13,8,5.92,-15.1824134162863
13,8,5.93,-14.771833348985
13,8,5.94,-14.3753306546458
13,8,5.95,-13.9915117314394
13,8,5.96,-13.6190921622175
13,8,5.97,-13.2568764872983
13,8,5.98,-12.9037408423693
13,8,5.99,-12.5586178137241
13,8,6,-12.2204829860848
13,8.2,3,-2.76931170925788
13,8.2,3.01,-2.79334412904229
13,8.2,3.02,-2.81776685178051
13,8.2,3.03,-2.84258809673169
13,8.2,3.04,-2.86781635386487
13,8.2,3.05,-2.89346039833148
13,8.2,3.06,-2.91952930554729
13,8.2,3.07,-2.94603246689992
13,8.2,3.08,-2.97297960609813
13,8.2,3.09,-3.0003807961773
13,8.2,3.1,-3.02824647717478
13,8.2,3.11,-3.05658747448696
13,8.2,3.12,-3.08541501791774
13,8.2,3.13,-3.1147407614256
13,8.2,3.14,-3.14457680357354
13,8.2,3.15,-3.1749357086819
13,8.2,3.16,-3.20583052868028
13,8.2,3.17,-3.23727482564854
13,8.2,3.18,-3.2692826950314
13,8.2,3.19,-3.30186878950271
13,8.2,3.2,-3.33504834344746
13,8.2,3.21,-3.36883719801852
13,8.2,3.22,-3.40325182671359
13,8.2,3.23,-3.43830936140335
13,8.2,3.24,-3.47402761872564
13,8.2,3.25,-3.51042512674158
13,8.2,3.26,-3.54752115172771
13,8.2,3.27,-3.58533572495263
13,8.2,3.28,-3.6238896692582
13,8.2,3.29,-3.66320462523136
13,8.2,3.3,-3.70330307671467
13,8.2,3.31,-3.74420837535963
13,8.2,3.32,-3.78594476387673
13,8.2,3.33,-3.82853739757885
13,8.2,3.34,-3.87201236374917
13,8.2,3.35,-3.91639669829078
13,8.2,3.36,-3.96171839903018
13,8.2,3.37,-4.00800643495163
13,8.2,3.38,-4.05529075053051
13,8.2,3.39,-4.10360226421147
13,8.2,3.4,-4.15297285993923
13,8.2,3.41,-4.20343537049423
13,8.2,3.42,-4.25502355121153
13,8.2,3.43,-4.30777204246614
13,8.2,3.44,-4.36171631909061
13,8.2,3.45,-4.41689262464939
13,8.2,3.46,-4.47333788822661
13,8.2,3.47,-4.53108962108972
13,8.2,3.48,-4.59018579026797
13,8.2,3.49,-4.65066466573302
13,8.2,3.5,-4.71256463748805
13,8.2,3.51,-4.77592399846332
13,8.2,3.52,-4.84078068868261
13,8.2,3.53,-4.90717199571049
13,8.2,3.54,-4.97513420592183
13,8.2,3.55,-5.04470220066174
13,8.2,3.56,-5.1159089909
13,8.2,3.57,-5.18878518354692
13,8.2,3.58,-5.26335837221191
13,8.2,3.59,-5.33965244488303
13,8.2,3.6,-5.41768680082556
13,8.2,3.61,-5.49747546899033
13,8.2,3.62,-5.57902612045114
13,8.2,3.63,-5.6623389679307
13,8.2,3.64,-5.74740554641807
13,8.2,3.65,-5.83420737033553
13,8.2,3.66,-5.92271446480502
13,8.2,3.67,-6.01288377143496
13,8.2,3.68,-6.1046574328545
13,8.2,3.69,-6.19796096512884
13,8.2,3.7,-6.29270133336393
13,8.2,3.71,-6.38876495340578
13,8.2,3.72,-6.48601565168413
13,8.2,3.73,-6.58429262600962
13,8.2,3.74,-6.68340846248651
13,8.2,3.75,-6.78314727749478
13,8.2,3.76,-6.88326306858741
13,8.2,3.77,-6.98347837356732
13,8.2,3.78,-7.08348335208294
13,8.2,3.79,-7.18293541760112
13,8.2,3.8,-7.28145955800247
13,8.2,3.81,-7.37864948835755
13,8.2,3.82,-7.47406977745172
13,8.2,3.83,-7.56725907795027
13,8.2,3.84,-7.65773456643882
13,8.2,3.85,-7.74499766206644
13,8.2,3.86,-7.82854104013906
13,8.2,3.87,-7.90785689006208
